File,Sent_ID,Sentence,Length,Category,Average Dependency,sub ID,subject,sub_subset_words,sub_subset_length,sub_subset_char_length,sub_direction,obl ID,obl,obl_subset_words,obl_subset_length,obl_subset_char_length,obl_direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,153,देखते हैं क्या चिट्ठी आती है वहाँ से ।,9,sv_obl,1.5714285714285714,4,चिट्ठी,"['चिट्ठी', 'क्या']",2,10,RL,7,वहाँ,['वहाँ से'],1,6,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,154,क्या खबर आती है भरतपुर से ।,7,sv_obl,1.2,2,खबर,"['खबर', 'क्या']",2,7,RL,5,भरतपुर,['भरतपुर से'],1,8,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,157,वो जयपुर से तो चल दिया होगा ।,8,s_obl_v,2.1666666666666665,1,वो,['वो'],1,2,No Direction,2,जयपुर,"['जयपुर से', 'तो']",2,9,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,169,अभी बज रहे हैं 6 ।,6,obl_vs,1.75,5,6,['6'],1,1,No Direction,1,अभी,['अभी'],1,3,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,171,नहीं 5 सुबह के बज रहे हैं ना ।,9,s_obl_v,2.2857142857142856,2,5,['5'],1,1,No Direction,3,सुबह,['सुबह के'],1,6,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,173,हमारे यहाँ 22 है तो वहाँ भी 22 हो गई ना ।,12,obl_sv,2.1,8,22,['22'],1,2,No Direction,6,वहाँ,"['वहाँ', 'भी']",2,6,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,174,मतलब वहाँ 23 हो गई ।,6,obl_sv,1.75,3,23,['23'],1,2,No Direction,2,वहाँ,['वहाँ'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,193,तो वो वहाँ गया होगा फ़िर ।,7,s_obl_v,1.8,2,वो,['वो'],1,2,No Direction,3,वहाँ,['वहाँ'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,198,और देखते हैं अपने क्या क्या कागज़ात आते हैं वहाँ से ।,12,sv_obl,1.9,7,कागज़ात,"['कागज़ात', 'अपने', 'क्या', 'क्या']",4,18,RL,10,वहाँ,['वहाँ से'],1,6,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,228,मीरा चली गई अपनी माँ के यहाँ ।,8,sv_obl,1.8333333333333333,1,मीरा,['मीरा'],1,4,No Direction,7,यहाँ,"['यहाँ', 'अपनी', 'माँ के']",3,13,RL
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,253,तुम लोग भी तो जरा भी मेरे साथ मज़े नहीं करते ।,12,s_obl_v,2.8,2,लोग,"['लोग', 'तुम', 'भी', 'तो']",4,10,LR,7,मेरे,['मेरे साथ'],1,7,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,260,दूसरा समझाते रहो पागल की तरह ।,7,sv_obl,1.4,1,दूसरा,['दूसरा'],1,5,No Direction,4,पागल,"['पागल की', 'पागल तरह']",2,13,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,280,कल परसो में इतवार आ रहा है ।,8,obl_sv,1.5,4,इतवार,['इतवार'],1,5,No Direction,2,परसो,"['कल', 'परसो में']",2,9,Both
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,284,मैं भी ये सोच रही थी तो होगी घर पे ।,12,sv_obl,1.9,7,अनीता,"['अनीता', 'तो']",2,7,LR,10,घर,['घर पे'],1,4,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,295,और वो मिक्की कहाँ पर पढ़ता है ।,8,s_obl_v,2.1666666666666665,3,मिक्की,"['मिक्की', 'वो']",2,8,RL,4,कहाँ,['कहाँ पर'],1,6,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,346,मेरी तरफ़ नहीं आई ये आवाज ।,7,obl_vs,1.6,6,आवाज,"['आवाज', 'ये']",2,6,RL,1,मेरी,['मेरी तरफ़'],1,7,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,355,अपन कर नहीं सकते ना अभी ।,7,sv_obl,2.2,1,अपन,['अपन'],1,3,No Direction,6,अभी,['अभी'],1,3,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,470,ये थोड़ी मैं हर समय बैठा रहूँगा ।,8,s_obl_v,1.8333333333333333,3,मैं,['मैं'],1,3,No Direction,5,समय,"['समय', 'हर']",2,5,RL
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,501,फ़िर पापा अपनी टूटू को ले के कहीं दूर चले जाएँगे ।,12,s_obl_v,2.9,2,पापा,['पापा'],1,4,No Direction,9,दूर,"['दूर', 'कहीं']",2,7,RL
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,533,नहीं मम्मी कहाँ खुश हो रही ।,7,s_obl_v,2.2,2,मम्मी,['मम्मी'],1,5,No Direction,3,कहाँ,['कहाँ'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,563,जब से तू आई जब से सब गड़बड़ हो गया ।,11,obl_sv,1.6666666666666667,3,तू,['तू'],1,2,No Direction,1,जब,['जब से'],1,4,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,563,जब से तू आई जब से सब गड़बड़ हो गया ।,11,obl_sv,1.6666666666666667,7,सब,['सब'],1,2,No Direction,5,जब,"['आई', 'जब से', 'तू', 'जब से']",4,12,Both
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,579,अरे तो मैं ने तो बात को आगे चलाने के लिए ऐसे कहा है ।,15,s_obl_v,3.8461538461538463,3,मैं,"['मैं ने', 'तो']",2,7,LR,12,ऐसे,['ऐसे'],1,3,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,604,रूटीन में मम्मी ऐसी बात कर देती है ।,9,obl_sv,2.0,3,मम्मी,['मम्मी'],1,5,No Direction,1,रूटीन,['रूटीन में'],1,8,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,640,पूरी कार भी धस गई सारी बर्फ़ में ।,9,sv_obl,1.4285714285714286,2,कार,"['कार', 'पूरी', 'भी']",3,9,Both,7,बर्फ़,"['सारी', 'बर्फ़ में']",2,11,Both
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,655,उस से क्या होगा ।,5,obl_sv,1.6666666666666667,3,क्या,['क्या'],1,4,No Direction,1,उस,['उस से'],1,4,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,666,ये गड़गड़ की आवाज क्यों आ रही है ।,9,s_obl_v,1.4285714285714286,4,आवाज,"['आवाज', 'ये', 'गड़गड़ की']",3,12,RL,5,क्यों,['क्यों'],1,5,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,717,10 मिनट में और क्या जा रहा है ।,9,obl_sv,1.5714285714285714,5,क्या,"['क्या', 'और']",2,6,RL,2,मिनट,"['10', 'मिनट में']",2,9,Both
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,4,अब रिकॉर्डिंग शुरू हो गई है ।,7,obl_sv,1.8,2,रिकॉर्डिंग,['रिकॉर्डिंग'],1,10,No Direction,1,अब,['अब'],1,2,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,6,तुम ने ट्राए किया था वहाँ ।,7,sv_obl,1.6,1,तुम,['तुम ने'],1,5,LR,6,वहाँ,['वहाँ'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,30,अभी वो मेसेज कुछ आया था ।,7,obl_sv,1.8,3,मेसेज,"['मेसेज', 'वो', 'कुछ']",3,10,Both,1,अभी,['अभी'],1,3,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,32,कि ये कॉल रिकॉर्ड होगी रिसर्च के लिए और वो सब ।,12,sv_obl,2.1,3,कॉल,"['कॉल', 'ये']",2,5,RL,6,रिसर्च,"['रिसर्च के', 'रिसर्च लिए']",2,17,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,38,तो अगर नहीं ये यूज़ करोगे तो उस केस में क्या होगा ।,13,obl_sv,3.4545454545454546,11,क्या,['क्या'],1,4,No Direction,9,केस,"['उस', 'केस में']",2,8,Both
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,91,1 साल हो गया उस को काम करते हुए अनुपम को ।,12,obl_vs,1.6,5,उस,['उस को'],1,4,LR,2,साल,"['साल', '1']",2,4,RL
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,94,नहीं अभी 1 साल नहीं हुआ ।,7,obl_sv,2.6,4,साल,"['साल', '1']",2,4,RL,2,अभी,['अभी'],1,3,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,106,कपूर साहब तो पीछे पीछे आ जाएँगे ।,8,s_obl_v,1.6666666666666667,2,साहब,"['साहब', 'कपूर', 'तो']",3,10,Both,4,पीछे,"['पीछे', 'पीछे']",2,8,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,107,उन को जॉब क्या करने की ज़रूरत है ।,9,s_obl_v,1.7142857142857142,1,उन,['उन को'],1,4,LR,4,क्या,['क्या'],1,4,No Direction
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,109,यहाँ आ जाएँ उस के बाद तो कुछ ना कुछ हो ही जाएगा अपने आप ।,16,obl_sv,2.7142857142857144,8,कुछ,"['कुछ', 'ना', 'कुछ']",3,8,LR,4,उस,"['उस के', 'उस बाद', 'तो']",3,11,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,115,तो उस से प्रॉब्लम हो जाएगा उन को ।,9,obl_vs,1.8571428571428572,7,उन,['उन को'],1,4,LR,2,उस,['उस से'],1,4,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,120,उन को थोड़ा सा एचवन में कुछ तो प्रॉब्लम हो रही होगी ।,13,s_obl_v,2.8181818181818183,1,उन,['उन को'],1,4,LR,5,एचवन,['एचवन में'],1,7,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,132,कि फ़िर से उन्हें रिक्रूट करने होंगे ।,8,obl_sv,2.3333333333333335,4,उन्हें,['उन्हें'],1,6,No Direction,2,फ़िर,['फ़िर से'],1,5,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,136,कि अगर उन्होंने यूएस सिटिज़ेन को हायर फ़ायर किया पिछले महीनों में तो एचवन नहीं अप्रूव होगा ।,19,sv_obl,3.5294117647058822,3,उन्होंने,['उन्होंने'],1,8,No Direction,12,महीनों,"['पिछले', 'कुछ', 'महीनों में']",3,17,RL
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,142,वैसे कपूर साहब को तो वैसे भी प्रॉब्लम होगी ना ।,11,s_obl_v,2.6666666666666665,3,साहब,"['कपूर', 'साहब को', 'तो']",3,12,LR,6,वैसे,"['वैसे', 'भी']",2,6,LR
../../Dialouge Corpus Filttered\parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,143,जीएम का वो लिखेंगे तो ये ऐसे सोचेंगे ।,9,s_obl_v,2.142857142857143,6,ये,['ये'],1,2,No Direction,7,ऐसे,['ऐसे'],1,3,No Direction
