File,Sent_ID,Sentence,Length,Category,dep_Length,Dependency Length
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,344,अभी टूँ की सी आवाज आई थी बीच में ।,10,nmod,3,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,366,अब तो शादियों का सीज़न चल रहा है वहाँ पर ।,11,nmod,2,1.8888888888888888
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,369,अपन का वो भी तो नहीं पता ना ।,9,nmod,2,1.7142857142857142
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,372,पर अब न्यू ईयर का कार्ड तो बंबई वाले एड्रेस पर भेज देंगे ना पते पर ।,17,nmod,3,3.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,372,पर अब न्यू ईयर का कार्ड तो बंबई वाले एड्रेस पर भेज देंगे ना पते पर ।,17,nmod,2,3.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,378,उस की तारीख थोड़ी मालूम है तेरे को ।,9,nmod,2,1.4285714285714286
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,387,मैं सोच रही हूँ न्यू ईयर के कार्ड आज लिख देना बैठ के ।,14,nmod,3,1.9166666666666667
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,438,आप का जो व्यवहार बदला है ना ।,8,nmod,2,1.5
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,501,फ़िर पापा अपनी टूटू को ले के कहीं दूर चले जाएँगे ।,12,nmod,1,2.9
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,541,अभी टूटू का ध्यान रखना ।,6,nmod,2,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,558,मेरा मन नहीं कर रहा है ।,7,nmod,1,1.4
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,566,उस से पहले सब ठीक था ।,7,nmod,2,1.4
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,573,मेरा बेटा बहुत अच्छा है ।,6,nmod,1,1.25
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,582,इस में खून जलाने की क्या बात हो गई ।,10,nmod,3,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,654,मौसी का इंतज़ार कर रहे हैं ।,7,nmod,2,1.4
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6322_gold.conllu,668,ये गड़गड़ की आवाज क्यों आ रही है ।,9,nmod,3,1.4285714285714286
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,13,हो सकता है कि अब वर्मा घर बैठे हों या इधर उधर हों ।,14,nmod,1,2.5
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,62,कल रात को हो गई थी ।,7,nmod,1,1.4
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,71,मैं ने तो कपूर साहब के यहाँ फ़ोन किया था ।,11,nmod,3,2.111111111111111
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,97,2 साल हो जाएँगे उस के यहाँ आए हो जाएगा मौका ।,12,nmod,2,2.4
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,113,ऐसे जॉब वॉब के चक्कर में तो जो लाएँगे ना वो तो सब मास्टर के जैसे लोग हैं ।,19,nmod,4,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,130,तो उन को उन कंडिशंज़ के हिसाब से पहले काम करना पड़ेगा ।,13,nmod,3,3.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,140,तो फ़िर इसलिए वो सिटिज़ेंज़ को रिक्रूट करने के चक्करों में [incomprehensible] है ।,14,nmod,5,4.166666666666667
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,145,तो ये जो मास्टर का बायोडेटा क्या होता है आप को पता ही है ।,15,nmod,2,2.6923076923076925
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,149,किसी के बायोडेटा में कुछ भी लिख देते हैं वो लोग ।,12,nmod,2,1.9
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,151,जो उन की मर्ज़ी आए जैसा डिमांड हो उस हिसाब से बायोडेटा बना देते हैं ।,16,nmod,2,1.8571428571428572
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,183,कहते हैं कल दोपहर को मैं आया था ।,9,nmod,1,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,195,कल सुबह थोड़ा प्रॉब्लम है हमारे मौसम का ।,9,nmod,1,1.4285714285714286
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,211,वो दिनेश तो वहाँ जाने का प्लान कर रहा है ।,11,nmod,3,1.7777777777777777
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,222,उस का फ़ोन आया था ।,6,nmod,2,1.25
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,271,तुम्हारा फ़ोन आने से पहले ।,6,nmod,1,1.25
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,274,कह रहा था डिनर बनाने जा रहे थे तो उस के यहाँ प्याज़ नहीं थे ।,16,nmod,2,2.7142857142857144
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,283,आप यहाँ से प्याज़ ले जा [incomprehensible] जा ले आए ।,13,nmod,2,1.7272727272727273
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,318,वो ही स्टोर जिन की प्रॉफ़िट ज्यादा चल रहे हैं ना वो ज्यादा नखरी करते हैं ।,17,nmod,2,2.3333333333333335
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,318,वो ही स्टोर जिन की प्रॉफ़िट ज्यादा चल रहे हैं ना वो ज्यादा नखरी करते हैं ।,17,acl:relcl,8,2.3333333333333335
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,382,बस उन का टाइम हो गया ।,7,nmod,2,1.8
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,389,नाई की जगह नाऊ बोलते हैं वो गाँव की भाषा में ।,12,nmod,2,1.8
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,400,वो बाहर से टीवी की आवाज भी आ रही है ।,11,nmod,2,2.5555555555555554
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,424,आप के ऑफ़िस के बहुत ही पास है वो ।,10,nmod,2,1.75
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,445,[incomprehensible] साहब के यहाँ फ़ोन किया था ।,8,nmod,3,1.3333333333333333
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,548,बस वो ही कपूर साहब खुद के हिसाब से ही देख रहे हैं ।,14,nmod,2,3.25
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,550,यूपी डेस्कों का बिल नहीं निकलते कभी [incomprehensible] के ।,10,nmod,3,1.375
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,616,अपने घर में लगा लेंगे वो ।,7,nmod,1,1.4
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,622,1 टेप [incomprehensible] अपने अपने घर लगा लेंगे ।,9,nmod,2,2.142857142857143
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,639,वो सोच रहे हैं कि उन के कहन से जैसे वो बहुत बड़े डायरेक्टर हैं ।,16,nmod,2,3.2142857142857144
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,647,वर्मा जी को तुम्हारे आने के बाद प्रॉब्लम हुई ना ।,11,nmod,1,2.3333333333333335
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,651,तुम्हारे आने के बाद ही हुई ।,7,nmod,1,2.2
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,669,उन का अजीब सा तो वो होता है ।,9,nmod,2,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,679,वैसे मतलब फ़िर अब उन को घर वर का भी वो दिक्कत होगी ।,14,nmod,4,5.333333333333333
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,704,या 15 पर्सेंट है जिस में 4 पर्सेंट 5 पर्सेंट सब्सिडी मिल जाती है ।,15,nmod,4,2.4615384615384617
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,713,हाँ 2 लाख का लोन होगा ।,7,nmod,3,2.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,776,लेकिन मतलब उन का वो उस में नहीं जा पाए ना किसी ।,13,nmod,2,3.0
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,778,मतलब इंजीनियरिंग या मेडिकल की लाइन में नहीं जा पाए ना वो लोग ।,14,nmod,4,2.5833333333333335
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,796,अपना ही मतलब खर्चा मुश्किल निकलता है ।,8,nmod,2,1.5
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,837,वो तो जितने तरह के लोन पॉसिबल हो सकते हैं वो सब ले लेते हैं ।,16,nmod,3,2.4285714285714284
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,860,तो इसलिए जितने मैक्सिमम पॉसिबल तरह के लोन हो सकें वो सब ले लो ।,15,nmod,4,2.6153846153846154
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6435_gold.conllu,924,इस के तो सब रास्ते बंद कर रखे होंगे ।,10,nmod,3,1.75
../Dialouge Corpus Filttered/parse_gold_filttered\Phase1\Phase1_gold\hi_6441_gold.conllu,14,भगवान ने उस में अर्जुन को उस का कर्तव्य समझाया है ।,12,nmod,2,2.9
